Date,Time,Date Time,Latitude,Longitude,Message,Type
30-Oct-16,8:02,30/10/2016 08:02,1.393124441,103.8226515,(30/10)7:45 Roadworks on SLE (towards BKE) at Upper Thomson Rd Exit.,Roadwork
30-Oct-16,8:02,30/10/2016 08:02,1.331877388,103.9659059,(30/10)7:36 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
30-Oct-16,8:02,30/10/2016 08:02,1.306641339,103.8288769,(30/10)5:34 Roadworks on Orchard Road (towards Bras Basah Rd) after Tanglin Road.,Roadwork
30-Oct-16,8:02,30/10/2016 08:02,1.282422387,103.8516026,(30/10)5:29 Road Closure on Finlayson Green (towards Collyer Quay) after Cecil Street.,Road Block
30-Oct-16,8:02,30/10/2016 08:02,1.281028053,103.8505917,(30/10)5:27 Road Closure on Cross Street (towards Robinson Road) after Raffles Quay.,Road Block
30-Oct-16,8:02,30/10/2016 08:02,1.276798186,103.8474247,(30/10)5:24 Road Closure on Robinson Road (towards Mccallum Street) after Maxwell Road.,Road Block
30-Oct-16,8:02,30/10/2016 08:02,1.285186574,103.8533117,(30/10)5:19 Road Closure on Fullerton Road (towards Guillemard) after Marina Boulevard.,Road Block
30-Oct-16,8:02,30/10/2016 08:02,1.28673367,103.8534535,(30/10)5:17 Road Closure on Fullerton Road (towards Connaught Drive) after Esplanade Drive.,Road Block
30-Oct-16,8:02,30/10/2016 08:02,1.289339615,103.8510061,(30/10)5:15 Road Closure on Parliament Place (towards Old Parliament Place) after Supreme Court Lane.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.393124441,103.8226515,(30/10)7:45 Roadworks on SLE (towards BKE) at Upper Thomson Rd Exit.,Roadwork
30-Oct-16,8:04,30/10/2016 08:04,1.331877388,103.9659059,(30/10)7:36 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
30-Oct-16,8:04,30/10/2016 08:04,1.306641339,103.8288769,(30/10)5:34 Roadworks on Orchard Road (towards Bras Basah Rd) after Tanglin Road.,Roadwork
30-Oct-16,8:04,30/10/2016 08:04,1.282422387,103.8516026,(30/10)5:29 Road Closure on Finlayson Green (towards Collyer Quay) after Cecil Street.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.281028053,103.8505917,(30/10)5:27 Road Closure on Cross Street (towards Robinson Road) after Raffles Quay.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.276798186,103.8474247,(30/10)5:24 Road Closure on Robinson Road (towards Mccallum Street) after Maxwell Road.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.285186574,103.8533117,(30/10)5:19 Road Closure on Fullerton Road (towards Guillemard) after Marina Boulevard.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.28673367,103.8534535,(30/10)5:17 Road Closure on Fullerton Road (towards Connaught Drive) after Esplanade Drive.,Road Block
30-Oct-16,8:04,30/10/2016 08:04,1.289339615,103.8510061,(30/10)5:15 Road Closure on Parliament Place (towards Old Parliament Place) after Supreme Court Lane.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.306641339,103.8288769,(30/10)8:02 Roadworks on Orchard Road (towards Bras Basah Rd) after Tanglin Road.,Roadwork
30-Oct-16,8:06,30/10/2016 08:06,1.393124441,103.8226515,(30/10)7:45 Roadworks on SLE (towards BKE) at Upper Thomson Rd Exit.,Roadwork
30-Oct-16,8:06,30/10/2016 08:06,1.331877388,103.9659059,(30/10)7:36 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
30-Oct-16,8:06,30/10/2016 08:06,1.282422387,103.8516026,(30/10)5:29 Road Closure on Finlayson Green (towards Collyer Quay) after Cecil Street.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.281028053,103.8505917,(30/10)5:27 Road Closure on Cross Street (towards Robinson Road) after Raffles Quay.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.276798186,103.8474247,(30/10)5:24 Road Closure on Robinson Road (towards Mccallum Street) after Maxwell Road.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.285186574,103.8533117,(30/10)5:19 Road Closure on Fullerton Road (towards Guillemard) after Marina Boulevard.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.28673367,103.8534535,(30/10)5:17 Road Closure on Fullerton Road (towards Connaught Drive) after Esplanade Drive.,Road Block
30-Oct-16,8:06,30/10/2016 08:06,1.289339615,103.8510061,(30/10)5:15 Road Closure on Parliament Place (towards Old Parliament Place) after Supreme Court Lane.,Road Block
30-Oct-16,8:08,30/10/2016 08:08,1.299293179,103.8452594,(30/10)8:05 Accident on Orchard Road (towards Bras Basah Rd) after Buyong Road.,Accident
30-Oct-16,8:08,30/10/2016 08:08,1.306641339,103.8288769,(30/10)8:02 Roadworks on Orchard Road (towards Bras Basah Rd) after Tanglin Road.,Roadwork
