Date,EventID,StartDate,EndDate,SvcDept,RoadName,Other
2016-10-30,RMINRM-201510-0811,2015-10-26,2018-12-31,LAND TRANSPORT AUTHORITY,ALJUNIED ROAD,"For details, please call 62616287"
2016-10-30,RMINRM-201603-0638,2016-03-22,2017-03-22,LAND TRANSPORT AUTHORITY,ANG MO KIO AVENUE 3 (Bus Lane Affected),"For details, please call"
2016-10-30,RMINRM-201603-0637,2016-03-22,2017-03-22,LAND TRANSPORT AUTHORITY,ANG MO KIO AVENUE 3 (Bus Lane Affected),"For details, please call"
2016-10-30,RMINRM-201603-0433,2016-03-23,2017-03-22,LAND TRANSPORT AUTHORITY,AYER RAJAH AVENUE,"For details, please call 62957407"
2016-10-30,RMINRM-201603-0431,2016-03-23,2017-03-22,LAND TRANSPORT AUTHORITY,AYER RAJAH CRESCENT,"For details, please call 62957407"
2016-10-30,RMINRM-201603-0210,2016-03-07,2017-11-30,LAND TRANSPORT AUTHORITY,BEDOK CENTRAL (Bus Lane Affected),"For details, please call 63962476"
2016-10-30,RMINRM-201108-0335,2011-08-18,2016-12-30,LAND TRANSPORT AUTHORITY,BEDOK NORTH AVENUE 3,"For details, please call 64467911"
2016-10-30,RMINRM-201603-0458,2016-03-21,2017-03-20,LAND TRANSPORT AUTHORITY,BIOMEDICAL GROVE,"For details, please call 62957407"
2016-10-30,RMINRM-201605-0053,2016-05-04,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS ROAD,"For details, please call 62957407"
2016-10-30,RMINRM-201605-0051,2016-05-04,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS ROAD,"For details, please call 62957407"
2016-10-30,RMINRM-201603-0459,2016-03-21,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS STREET,"For details, please call 62957407"
2016-10-30,RMINRM-201605-0129,2016-05-05,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS WAY,"For details, please call 62957407"
2016-10-30,RMINRM-201603-0460,2016-03-21,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS WAY,"For details, please call 62957407"
2016-10-30,RMINRM-201603-0461,2016-03-21,2017-03-20,LAND TRANSPORT AUTHORITY,BIOPOLIS WAY,"For details, please call 62957407"
2016-10-30,RMINDL-201604-0015,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY AVENUE,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0114,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY AVENUE,"For details, please call 63328174"
2016-10-30,RMINDL-201604-0008,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY DRIVE,"For details, please call 63328174"
2016-10-30,RMINDL-201604-0021,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY DRIVE,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0106,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY DRIVE,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0121,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY DRIVE,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0111,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY PLACE,"For details, please call 63328174"
2016-10-30,RMINDL-201604-0012,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BOON LAY PLACE,"For details, please call 63328174"
2016-10-30,RMINRM-201504-0416,2015-04-20,2017-02-28,LAND TRANSPORT AUTHORITY,BOON LAY WAY,"For details, please call 6295 7346"
2016-10-30,RMINRM-201604-0625,2016-05-02,2016-11-01,LAND TRANSPORT AUTHORITY,BRICKLAND ROAD,"For details, please call 63962943"
2016-10-30,RMINDL-201604-0010,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BUKIT BATOK EAST AVENUE 3,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0108,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BUKIT BATOK EAST AVENUE 3,"For details, please call 63328174"
2016-10-30,RMINRM-201604-0119,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BUKIT BATOK ROAD,"For details, please call 63328174"
2016-10-30,RMINDL-201604-0019,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,BUKIT BATOK ROAD,"For details, please call 63328174"
2016-10-30,RMINRM-201512-0806,2016-01-04,2016-11-30,LAND TRANSPORT AUTHORITY,BUKIT BATOK ROAD,"For details, please call (SITE)"
2016-10-30,RMINRM-201602-0483,2016-02-23,2017-02-23,LAND TRANSPORT AUTHORITY,CANBERRA LINK,"For details, please call 63325624"
2016-10-30,RMINRM-201603-0865,2016-03-28,2017-06-30,LAND TRANSPORT AUTHORITY,CHANGI SOUTH AVENUE 2 (Bus Lane Affected),"For details, please call 65729647"
2016-10-30,RMINRM-201603-0373,2016-03-14,2017-06-30,LAND TRANSPORT AUTHORITY,CHANGI SOUTH AVENUE 2 (Bus Lane Affected),"For details, please call 65729647"
2016-10-30,RMINRM-201603-0452,2016-03-16,2017-06-30,LAND TRANSPORT AUTHORITY,CHANGI SOUTH AVENUE 3 (Bus Lane Affected),"For details, please call 65729647"
2016-10-30,RMINRM-201603-0866,2016-03-28,2017-06-30,LAND TRANSPORT AUTHORITY,CHANGI SOUTH STREET 3,"For details, please call 65729647"
2016-10-30,RMINRM-201604-0115,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,CHOA CHU KANG AVENUE 2,"For details, please call 63328174"
2016-10-30,RMINDL-201604-0016,2016-05-02,2016-10-31,LAND TRANSPORT AUTHORITY,CHOA CHU KANG AVENUE 2,"For details, please call 63328174"
2016-10-30,RMINRM-201512-0523,2015-12-16,2018-12-31,LAND TRANSPORT AUTHORITY,COMPASSVALE STREET,"For details, please call 62616287"
2016-10-30,RMINRM-201601-0118,2016-01-11,2018-12-31,LAND TRANSPORT AUTHORITY,COMPASSVALE STREET (Bus Lane Affected),"For details, please call 62616287"
2016-10-30,RMINRM-201512-0920,2015-12-30,2016-12-31,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call"
2016-10-30,RMINRM-201508-0625,2015-08-24,2017-06-23,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call 62430344"
2016-10-30,RMINRM-201508-0617,2015-08-24,2017-06-30,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call 62430344"
2016-10-30,RMINRM-201508-0620,2015-08-24,2017-06-30,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call 62430344"
2016-10-30,RMINRM-201508-0594,2015-08-21,2017-06-30,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call 62430344"
2016-10-30,RMINRM-201505-0157,2015-05-10,2017-01-24,LAND TRANSPORT AUTHORITY,EAST COAST PARK SERVICE ROAD,"For details, please call 62430344"
2016-10-30,RMINRM-201603-0198,2016-03-05,2017-03-05,LAND TRANSPORT AUTHORITY,EUNOS LINK (Bus Lane Affected),"For details, please call"
2016-10-30,RMINRM-201603-0197,2016-03-05,2017-03-05,LAND TRANSPORT AUTHORITY,EUNOS LINK (Bus Lane Affected),"For details, please call"
2016-10-30,RMINRM-201604-0715,2016-04-29,2018-04-30,LAND TRANSPORT AUTHORITY,HOUGANG CENTRAL,"For details, please call"
2016-10-30,RMINRM-201604-0605,2016-04-27,2017-12-30,LAND TRANSPORT AUTHORITY,HOUGANG CENTRAL,"For details, please call"
2016-10-30,RMINRM-201512-0524,2015-12-16,2018-12-31,LAND TRANSPORT AUTHORITY,JALAN ENAM,"For details, please call 62616287"
2016-10-30,RMINRM-201604-0626,2016-05-02,2016-11-01,LAND TRANSPORT AUTHORITY,JALAN LAYANG LAYANG,"For details, please call 6396 1337"
