DateTime,Latitude,Longitude,Message,Type
20:35,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:35,1.3661560652501514,103.86019279066612,(5/11)20:30 Vehicle breakdown on CTE (towards SLE) after AMK Ave 3 Exit.,Vehicle breakdown
20:35,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
20:35,1.3281282428808632,103.75734980524584,(5/11)20:09 Roadworks on Toh Tuck Avenue (towards Boon Lay Way) after Old Toh Tuck Road. Avoid left lane.,Roadwork
20:35,1.3432798569928113,103.85635245966245,(5/11)19:47 Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.,Roadwork
20:35,1.3179340951142855,103.85039753396698,(5/11)19:17 Vehicle breakdown on CTE (towards AYE) at Balestier Rd Entrance.,Vehicle breakdown
20:35,1.2818154473050907,103.8379802067228,(5/11)14:54 Roadworks on Outram Road (towards Chin Swee Road) after Outram Park. Avoid left lane.,Roadwork
20:35,1.3430198654762295,103.68652477981998,(5/11)14:38 Roadworks on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 4.,Roadwork
20:35,1.3517366100037191,103.9411931497767,(5/11)13:42 Roadworks on Tampines Avenue 4 (towards Tampines Avenue 5) after Tampines Street 82. Avoid left lane.,Roadwork
20:35,1.2944110425782884,103.85910865961588,(5/11)13:05 Diversion on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Diversion
20:35,1.2946003231392769,103.85850905478492,(5/11)13:00 Road Closure on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Road Block
20:37,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:37,1.3661560652501514,103.86019279066612,(5/11)20:30 Vehicle breakdown on CTE (towards SLE) after AMK Ave 3 Exit.,Vehicle breakdown
20:37,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
20:37,1.3281282428808632,103.75734980524584,(5/11)20:09 Roadworks on Toh Tuck Avenue (towards Boon Lay Way) after Old Toh Tuck Road. Avoid left lane.,Roadwork
20:37,1.3432798569928113,103.85635245966245,(5/11)19:47 Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.,Roadwork
20:37,1.3179340951142855,103.85039753396698,(5/11)19:17 Vehicle breakdown on CTE (towards AYE) at Balestier Rd Entrance.,Vehicle breakdown
20:37,1.2818154473050907,103.8379802067228,(5/11)14:54 Roadworks on Outram Road (towards Chin Swee Road) after Outram Park. Avoid left lane.,Roadwork
20:37,1.3430198654762295,103.68652477981998,(5/11)14:38 Roadworks on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 4.,Roadwork
20:37,1.3517366100037191,103.9411931497767,(5/11)13:42 Roadworks on Tampines Avenue 4 (towards Tampines Avenue 5) after Tampines Street 82. Avoid left lane.,Roadwork
20:37,1.2944110425782884,103.85910865961588,(5/11)13:05 Diversion on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Diversion
20:37,1.2946003231392769,103.85850905478492,(5/11)13:00 Road Closure on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Road Block
20:39,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:39,1.3661560652501514,103.86019279066612,(5/11)20:30 Vehicle breakdown on CTE (towards SLE) after AMK Ave 3 Exit.,Vehicle breakdown
20:39,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
20:39,1.3281282428808632,103.75734980524584,(5/11)20:09 Roadworks on Toh Tuck Avenue (towards Boon Lay Way) after Old Toh Tuck Road. Avoid left lane.,Roadwork
20:39,1.3432798569928113,103.85635245966245,(5/11)19:47 Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.,Roadwork
20:39,1.3179340951142855,103.85039753396698,(5/11)19:17 Vehicle breakdown on CTE (towards AYE) at Balestier Rd Entrance.,Vehicle breakdown
20:39,1.2818154473050907,103.8379802067228,(5/11)14:54 Roadworks on Outram Road (towards Chin Swee Road) after Outram Park. Avoid left lane.,Roadwork
20:39,1.3430198654762295,103.68652477981998,(5/11)14:38 Roadworks on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 4.,Roadwork
20:39,1.3517366100037191,103.9411931497767,(5/11)13:42 Roadworks on Tampines Avenue 4 (towards Tampines Avenue 5) after Tampines Street 82. Avoid left lane.,Roadwork
20:39,1.2944110425782884,103.85910865961588,(5/11)13:05 Diversion on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Diversion
20:39,1.2946003231392769,103.85850905478492,(5/11)13:00 Road Closure on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Road Block
20:41,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:41,1.3661560652501514,103.86019279066612,(5/11)20:30 Vehicle breakdown on CTE (towards SLE) after AMK Ave 3 Exit.,Vehicle breakdown
20:41,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
20:41,1.3281282428808632,103.75734980524584,(5/11)20:09 Roadworks on Toh Tuck Avenue (towards Boon Lay Way) after Old Toh Tuck Road. Avoid left lane.,Roadwork
20:41,1.3432798569928113,103.85635245966245,(5/11)19:47 Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.,Roadwork
20:41,1.3179340951142855,103.85039753396698,(5/11)19:17 Vehicle breakdown on CTE (towards AYE) at Balestier Rd Entrance.,Vehicle breakdown
20:41,1.2818154473050907,103.8379802067228,(5/11)14:54 Roadworks on Outram Road (towards Chin Swee Road) after Outram Park. Avoid left lane.,Roadwork
20:41,1.3430198654762295,103.68652477981998,(5/11)14:38 Roadworks on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 4.,Roadwork
20:41,1.3517366100037191,103.9411931497767,(5/11)13:42 Roadworks on Tampines Avenue 4 (towards Tampines Avenue 5) after Tampines Street 82. Avoid left lane.,Roadwork
20:41,1.2944110425782884,103.85910865961588,(5/11)13:05 Diversion on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Diversion
20:41,1.2946003231392769,103.85850905478492,(5/11)13:00 Road Closure on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Road Block
20:43,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:43,1.3661560652501514,103.86019279066612,(5/11)20:30 Vehicle breakdown on CTE (towards SLE) after AMK Ave 3 Exit.,Vehicle breakdown
20:43,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
20:43,1.3281282428808632,103.75734980524584,(5/11)20:09 Roadworks on Toh Tuck Avenue (towards Boon Lay Way) after Old Toh Tuck Road. Avoid left lane.,Roadwork
20:43,1.3432798569928113,103.85635245966245,(5/11)19:47 Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.,Roadwork
20:43,1.3179340951142855,103.85039753396698,(5/11)19:17 Vehicle breakdown on CTE (towards AYE) at Balestier Rd Entrance.,Vehicle breakdown
20:43,1.2818154473050907,103.8379802067228,(5/11)14:54 Roadworks on Outram Road (towards Chin Swee Road) after Outram Park. Avoid left lane.,Roadwork
20:43,1.3430198654762295,103.68652477981998,(5/11)14:38 Roadworks on PIE (towards Changi Airport) before Pioneer Rd Nth. Avoid lane 4.,Roadwork
20:43,1.3517366100037191,103.9411931497767,(5/11)13:42 Roadworks on Tampines Avenue 4 (towards Tampines Avenue 5) after Tampines Street 82. Avoid left lane.,Roadwork
20:43,1.2944110425782884,103.85910865961588,(5/11)13:05 Diversion on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Diversion
20:43,1.2946003231392769,103.85850905478492,(5/11)13:00 Road Closure on Temasek Boulevard near Temasek Avenue/Temasek Boulevard Junction.,Road Block
20:45,1.2766221879593784,103.84732227561682,(5/11)20:31 Roadworks on Maxwell Road near Anson Road/Maxwell Road Junction.,Roadwork
20:45,1.4372830560856693,103.76832825785094,(5/11)20:13 Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,Heavy Traffic
