Date,Time,MaximumSpeed,RoadName,SpeedBand,MinimumSpeed,Message
11/3/2016,0:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:10,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:16,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:22,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:22,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:22,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:28,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:34,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:34,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:34,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:40,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:46,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:46,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:46,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:52,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:52,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:52,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,0:58,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:10,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:16,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:22,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:28,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:34,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:40,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:46,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:52,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,1:52,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:52,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,1:58,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,2:4,300,PAN ISLAND EXPRESSWAY,4,60,
