Date,Time,MaximumSpeed,RoadName,SpeedBand,MinimumSpeed,Message
11/3/2016,1:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,2:4,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,3:5,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,4:5,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:5,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:5,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,7:5,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,8:7,39,PAN ISLAND EXPRESSWAY,2,20,(3/11)8:01 Accident on PIE (towards Changi Airport) after Toh Guan Rd Exit.. Nearest exit to take is Toh Guan Rd. Nearest entrance to take is Toh Guan Rd
11/3/2016,12:0,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,13:0,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,14:0,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,15:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,16:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,17:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,18:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,19:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,20:1,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,21:2,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,22:2,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,23:2,300,PAN ISLAND EXPRESSWAY,4,60,
